original_index,review,sentiment
72,Pengiriman cepat,satisfied
73,Produk bagus sampe dengan baik mantap,satisfied
74,barang sesuai deskripsi,satisfied
75,"Bagus mantap , ternyata batre harus beli lagi ya, terus HDMI beli lagi",satisfied
76,bagus mantap terpercaya sukaa barang sipp,satisfied
77,Mantab👍🏻,satisfied
78,"Packing Bagus, Barang Oke",satisfied
79,best,satisfied
80,DOSS selalu terbaik 🔥 Sampe pake instan langsung gas ke Palembang,satisfied
81,"doss keren, selalu fast resp, udah 1 minggu lebih pakai, gaada masalah insyallah, mantap",satisfied
82,keren kamera nya,satisfied
83,Sesuai deskripsi. Top!,satisfied
84,Top,satisfied
85,Terimakasih.... barang cepet sampi 👍,satisfied
86,Terimakasih.... barang cepet nyampe 👍👍👍,satisfied
87,Top,satisfied
88,mantap,satisfied
89,"baca data hrnya relatif cepat, lbh cepat ketimbang",satisfied
90,"barang sesuai pesanan, belum dicoba tapi semoga berfungsi dengan baik",satisfied
91,Awalnya barang gak berfungsi. Dikomplain dan langsung ditangani dengan baik. pelayanan admin dan after salesnya keren banget. makasih doss,satisfied
92,"sesuai pesanan,.. berfungsi dg baik,.. harga terjangkau dibanding toko lain..",satisfied
93,lega karna pasanan di kirim dan di packinh dengan aman. next level of cleaning kit kamera,satisfied
94,"barang asli sesuai diskripsi, seller fast respon",satisfied
95,"Pemasangan bisa cepat setelah membaca manual, alat berfungsi dengan baik menjaga kelembaban, user manual informatif, bentuk keren",satisfied
96,Kurang Pas di layar Sony ZV E10 Mark II (kurang lebar dan agak ketinggian),dissapointed
97,Pengiriman lama dan tidak diberikan cleaning kit (tidak sesuai janji).,dissapointed
98,Doss emang mantul,satisfied
99,"bagus, berfungsi dg baik. pengiriman aman juga.",satisfied
100,Mantep pelayanannya. Seller ramah respon cepat.,satisfied
101,ada bintik di dalam,dissapointed
102,"pesanan sudah diterima dengan baik, terima kasih gan 👍🏼👍🏼👍🏼",satisfied
103,"layanan seller ramah, barang baru dan bergaransi. packingan dobel buble pack dan dilapis dus lagi selain dus standard kamera, jadi sampai rumah aman dan berfungsi dengan... ",satisfied
104,garansi tambahan yang bikin tenang kalau amit amit ada kejadian rusak /hilang dengan kamera kita...harganya juga terjangkau...,satisfied
105,barang oke dan kemasan oke juga dan fitur oke,satisfied
106,"packing aman dan rapi, barang sampai mulus dan banyak bonus, 😍 mantap banget doss, jos gandos, semoga setelah upgrade dapat banyak job , dan makin produktif, 🙏amin",satisfied
107,Top. Barang ori... Dikasi bonus. Seller gercep. Oke emang DOSS,satisfied
108,Fast response ! Maaf fotonya udh kebongkar karena memang seburu2 itu… makasih yaa,satisfied
109,Seller sangat responsive dan pengiriman cepat. Camera Belum saya coba. semoga barang awet dan memuaskan. Terima kasih,satisfied
110,Pelayanan baik,satisfied
111,region alatnya inter gabisa dipairing,dissapointed
112,excellent service. well 👍,satisfied
113,"barang tiba dengan selamat, seller fast respon dan ramah. ekspedisi JNE agak bikin rumit",satisfied
114,"mantap, gede juga ya ternyata",satisfied
115,"Barang sesuai yaa, mendarat dengan selamat",satisfied
116,"pengiriman cepet banget, kondisi barang aman terkendali",satisfied
117,"Sesuai deskripsi, seller ramah + gercep, paking sangat aman, bery recommended seller, maaf telat review...",satisfied
118,"Mantabb sesuai ekspektasi, kyk biasanya doss emg manteb",satisfied
119,"packing aman dan rapi, pokonya gausah ragu sama doss untuk pembelian online kebutuhan kalian",satisfied
120,"mantap, berfungsi dengan baik, mungkin saya yang kurang teliti, ternyata dikirim dari luar jawa, makanya kok mahal ongkirnya.",satisfied
121,BEST,satisfied
122,"respon cepat, pengiriman cepat barang bagus original manteeep",satisfied
123,"So good, pengiriman cepat",satisfied
124,"bass nya keren, rada susah di pairin nya aja",satisfied
125,Pengiriman saya ambil next day. Datangnya 3 hari kemudian seperti pengiriman regular.,dissapointed
126,Selalu oke berbelanja di sini. Memorynya berfungsi dengan baik dan harga so so lah. Good!,satisfied
127,"mantap sekali, joss gandoss, rekomended",satisfied
128,"Respon Chat yang super cepet, untuk proses brang pun super cepet, kualitas barang, gak usah di ragukan lagiii",satisfied
129,"Hollyland Lark M2 Combo: Mikrofon wireless compact dengan audio jernih, cocok untuk konten kreator. Jarak hingga 100 meter, daya tahan baterai 8 jam, dan dilengkapi charg... ",neutral
130,"Kualitas barangnya bagus, custom shortcutnya bisa masuk banyak juga, ukurannya pun pas ditangan jadi nyaman buat megangnya, dan untuk installasinya mudah, cukup install d... ",satisfied
131,Mantap barang sesuai,satisfied
132,Pengiriman cepat dan barang dikirim lengkap. Bahkan dapat bonus battery dan kaos. Sudah di test dan berfungsi normal,satisfied
133,sesuai walau belom di coba,satisfied
134,Langsung di kirim same day. Barang ori dan packing aman.,satisfied
135,sangat berfungsi dengan baik,satisfied
136,"terimakasih , pesan pagi lansung dikirim siang besoknya udah sampai",satisfied
137,pelayanan doss gaperlu diragukan ✨ unit amannn👍,satisfied
138,"Akhirnya kebeli juga ini barang setelah 2 tahun make kakaknya. Kalo mau beli photo dan video equipment, DOSS udah paling oke lah, mulai dari kualitas produknya, garansi... ",satisfied
139,"packing aman, peralatan lengkap, dicoba jernih, dicoba dg suara pelan tapi kedengeran. Buat yang baru beli harus buru2 aktifasi garansi setelah ini lihat di kartu garansi",satisfied
140,barang oke dan berfungsi dengan baik.,satisfied
141,"yak, mantap",satisfied
142,Mantab… pelayanan juara!!,satisfied
143,"pengiriman aman, dobel plastik, bubble wrap tebal.barang sesuai gambar",satisfied
144,"mantapp, seller fast respond dan sangat recommended oldebes 👍👍",satisfied
145,"mantapp, seller fast respond dan sangat recommended oldebes 👍👍",satisfied
146,"Sellernya sangat baik dan responsif, barangnya juga kokoh dan gampang dipake, Udah coba dipakek untuk charge 3 device sekaligus kencang dan sesuai sama claimnya 👍",satisfied
147,Barang bagus. Barang datang langsung unboxing dan tes langsung. Berjalan dengan baik dan lancar,satisfied
148,"ini adalah webcam yang sangat jernih, hasil gambarnya gk lebay. suara mic dan kualitas ai sangat baguss sehingga gk bisa berkata2. ini merupakan webcam terbaik saat ini,... ",satisfied
149,Toko Terbaik... Proses cepat... Manyala abangku...🔥🔥🔥,satisfied
150,pelayanan toko ⭐⭐⭐⭐⭐ kualitas barang ⭐⭐⭐⭐⭐,satisfied
151,Barang nyampe sesuai pesanan dan responnya bagus serta bnyak bonusnya👍👍👍,satisfied
152,Berfungsi dengan baik dan cahayanya cakep,satisfied
153,mantap sesuai recommendation ori 100% penguriman vepat,satisfied
154,Barangnya sangat sesuai ekspektasi. Sekali colok ke HP langsung berfungsi.,satisfied
155,"sejauh ini baru buka, material bahannya cukup oke kok dengan seharga ini. udah 11/12 sama Godox. Kalo light powernya nanti perlu dibandingin dulu sama merk sebelah. Katanya si... ",satisfied
156,Pelayanan DOSS selalu terbaik…🙏 Staf yang ramah serta sangat membantu dalam memjelaskan detail produk yang ditanyakan,satisfied
157,"pembelian yang ke 3, sangat memuaskan dan pengiriman yang cepat. 🙏",satisfied
158,Mantap. Memang paling lengkap. Selalu puas belanja disini,satisfied
159,"Tiba dengan selamat dan cepat, rekomended seller, puas dengan pelayanan🤩",satisfied
160,kualitas bagus dan admin responsif. terbaik😍,satisfied
161,kualitas bagus dan admin responsif. 😍,satisfied
162,barang mantap semoga awet. terimakasih doss,satisfied
163,"Barang sesuai deskripsi. benaran memang ada harga ada rupa. Beda sama magic arm merek lain, magic arm ini begitu kekunci (tanpa harus ngunci sampai ngeluarin tenaga besar... ",satisfied
164,mudah diaktifkan,satisfied
165,"penjual sangat membantu, respon cepat, memberikan saran apa saja yang saya perlukan, sampai malam pun masih aktif, pengiriman cepat, aman packing bagus...rekomen seller d... ",satisfied
166,so far so good,satisfied
167,PELAYANAN THE BEST DAN BANYAK PROMO DISKONNYA,satisfied
168,Kereennn,satisfied
169,sesuai dengan deskripsi dan diterima dalam keadaan baik,satisfied
170,"Mantap pengiriman cepat, barang oke banget, mimin responsif",satisfied
171,Harga termurah untuk tipe ini. Sudah dapat grid juga.,satisfied
172,barang bagus dan pelayanan cepat. makasiii seller,satisfied
173,DISKON TOKONYA MUANTAP,satisfied
174,Respon dan penanganan problem dari DOSS sangat baik dan dapat dipercaya,satisfied
175,"Pengiriman cepat, aman, sat set pokoknya, dapet special promo juga jadi harga nya paling murah se-Tokped, Toppp deh belanja di doss",satisfied
176,"Bagus, belom dicoba tapi semoga cocok🙏",neutral
177,"sepertinya ini original dan masih tahap percobaan , semoga awet dan bandel",neutral
178,Barang sesuai deskripsi. Recommended seller!!!,satisfied
179,"Mantap barang sampai dengan aman, dan kualitas barang bagus banget, berfungsi dengan baik, semoga awet, thnks admin 🙏",satisfied
180,"Klo pas promo, harga DOSS tidak ada lawan, udah paling murah, CS nya enak diajak diskusi, barangnya top banget... Barang NEW bergaransi resmi, harga second, top deh....",satisfied
181,Terimakasih banyak yaaaaa,satisfied
182,barang yang diterima sesuai dengan yang dipesan.... semoga awet... terimakasih,satisfied
183,"kamera ke 3 beli di doss, selalu aman, pembelian kali ini di kasih bonus charger, semoga kameranya awet dan kalau upgrade lagi nanti yakin bakal ambil lagi dari doss :)",satisfied
184,"Barang sampai dengan aman, packinging sangar rapi dan adminya ramah sekali.",satisfied
185,Cepat. Build Quality Oke. Mantap.,satisfied
186,Mancappp.Cepet satset,satisfied
187,cleaner berfungsi dengan baik. mantaaap 👍👍,satisfied
188,"Barang sih oke, original, sempat ragu sama packing tipis banget, kemasan tak cacat sih, semoga awet deh",satisfied
189,"cepat sampenya, barang berfungsi normal pas di cek tadi, aman sih, packingnya aman 👍🏻👍🏻",satisfied
190,Pelayabab baik kalau kualitas Canon dah pada tau lah yah,satisfied
191,"packingnya aman, rapi barang juga bagus aman dan rapi",satisfied
192,"komunatif sellernya, gercep, rekomendes....",satisfied
193,"Barang bagus, bisa ambil langsung di toko, harga kompetitif, top markotop",satisfied
194,barang bagus sesuai deskripsi..packing aman..mantap,satisfied
195,"led lightny bagus buat harganya , lampuny terang dan mantap buat foto, packingny premium dan oke banget warna warninya",satisfied
196,Nice…cuma masih bingung mslh garansi,satisfied
197,"mantap, pengiriman cepat",satisfied
198,Terbaik…. Pokonya ….,satisfied
199,"barang diterima dengan selamat, kualitas oke lah, cukup cepat walaupun bukan yang tercepat,  tapi sudah cukup bagi saya",satisfied
200,mantap sih.Ga pernah kecewa belanja di doss. Dari pelayanan sama qualitas barang tetap terbaik. Admin nya juga super sabar dalam melayani pertanyaan-pertanyaan pelanggan,satisfied
201,mantap,satisfied
202,barang paling top kalau dari toko doss 🔥😎,satisfied
203,"Oke banget, tapi sayang dusnya penyok”",satisfied
204,Pembelian dilakukan langsung di toko tapi bayarnya bisa melalui online shop. Jadi merasa terlindungi.,satisfied
205,Selalu puas belanja di sini. Emang TOP!,satisfied
206,MANTAAAAP!,satisfied
207,Mantap. Semoga awet dan dapat digunakan sesuai ekspektasi. Thank you.,satisfied
208,sesuai jadwal dan barangnya sesuai juga 👍,satisfied
209,"Pengalaman pertama beli Kamera baru! Customer Service DOSS di Tokped kece sih! Gercep dan membantu di setiap responnya. Perihal barang, ada sedikit drama di ekspedisi bu... ",satisfied
210,bekerja dengan baik di strava andorid dan jam amazfit trex 2,satisfied
211,Akhirnya punya filter HdanY juga 😅💪 Beli dari toko langganan yang sudah tak perlu diragukan; baik belanja online maupun saat offline 👍,satisfied
212,Transfer data dari CFEXPRESS Exascend Vigor cepat,neutral
213,"Tidak diragukan lagi,doss selalu amanah🤩 rekomended buat semuanya klo mau nyari kamera,sellernya ramah buanget dan expedisinya juga best,komplit dah pokoknya👌",satisfied
214,Packing nya aman dan rapih,satisfied
215,"DOSS TOP!!!,Beberapa kali belanja,Pelayanan Bagus Banget, Barang Berkualitas .",satisfied
216,Good product as always 👌 Pengiriman juga cepat 👌,satisfied
217,"sambil di charge dulu, da ciba nyala juga lumayan lah. untuk harganya bagus. packing kiriman aman, dr Doss gak di ragukan lagi",satisfied
218,"Barang sesuai dan memuaskan, semoga awet. Trims buat penjual dan kuris. Sukses selalu.",satisfied
219,bagussss,satisfied
220,pelayanan jooosss mantappp,satisfied
221,"seller ramah, fast respon, barang sesuai deskripsi, Top lah",satisfied
222,"mantap, barang bagusss",satisfied
223,pengiriman cepat dan packing amat aman. pakai pengiriman biasa di Jakarta langsung di terima hari esoknya.,satisfied
224,"mantapp, barang berfungsi dengan baik, sudah dipake buat ambil foto dan video berulang kali tidak ada kendala",satisfied
225,"Pesanan tiba dengan selamat dan aman, terima kasih seller",satisfied
226,Mantap maksimal,satisfied
227,Mantep,satisfied
228,Nice one,satisfied
229,oke,satisfied
235,thumbs up smile,satisfied
236,Selalu ga mengecewakan kalo belanja di DOSS,satisfied
237,"terima kasih, respon dan proses pengiriman cepat",satisfied
238,"Pengiriman dan respon cepet.. sangat membantu,,",satisfied
239,Nilai Positif: Efektif untuk membersihkan berbagai macam kotoran yang bisa dipindahkan dengan tekanan udara. Nozzle besar sangat efektif untuk meningkatkan efisiensi...,satisfied
240,"packing aman, mantap pokoknya. Bonusnya juga oke",satisfied
241,Langsung dipush kerja. Mantap lah,satisfied
242,"Barang sesuai, Mantap2.",satisfied
243,"gelembung hilang sendiri, plus mudah buat yang pasang sendiri di rumah.",satisfied
244,Packingnya rapi dan barangnya mantap. Jgn ragu beli di doss kawan,satisfied
245,recommended seller,satisfied
246,"Keren produknya, case dan charger battery jadi satu, jadi ga perlu bawa charger terpisah lagi, apalagi ini bisa charge 3 battery sekaligus, semoga awet",satisfied
247,"packing aman, double dus dan bubble wrap. paket nya juga original, sudah include micro sd dengan harga bessst! ga salah beli di dos!",satisfied
248,"alhamdulillah sudah sampai,nanti malam gas,makasih",satisfied
249,lensa packingnya aman..lengkap,satisfied
250,Bagus barang nya cepat,satisfied
251,"barang komplit, packing rapih sekali.....",satisfied
252,"bagus bikinan luar dalam nya, process kiriman super cepet",satisfied
253,Kualitas Barang biasa aja,neutral
254,Makasih doss tuker tambah langsung sama zeiss 24-70. Awalny beli lensa g-lens macro ternyata kurang cocok,satisfied
255,"mantap belanja di doss , langsung ambl ditoko",satisfied
256,Packing bubblewrap. Proses pengiriman cepet banget gile. Siang jam 3 pesen jam 5 kurang udah sampe. Barang original berfungsi dengan baik. Cakep bet deh 👍🏻,satisfied
257,Barangnya berkualitas,satisfied
258,Doss selalu memberikan barang yang berkuakutas,satisfied
259,thumbs up,satisfied
260,Bagus. Bisa dipake. Semoga awet,satisfied
261,Hoki dapat juga barang yang di incar. bagus Dan looks premium.,satisfied
262,Penjual sangat komunikatif. Top!,satisfied
263,"Packing aman dan terbungkus rapi, barang sesuai ekspektasi 👍",satisfied
264,sesuai deskripsi proses pengiriman cepat packing aman ber PPN,satisfied
265,"Kualitas bagus, seller ramah, ada garansi juga.",satisfied
266,Bagus. Packing aman. Seller ramah,satisfied
267,"Mantabs, tinggal lepas pasang, cocok buat selang seling antara mau bikin rig professional atau casual",satisfied
268,love doss 😍😍😍,satisfied
269,"barang oke. sesuai dan hasil oke, besok langsung perang dengan camera 24-70",satisfied
270,"sesuai deskripsi, barang baik, pengiriman cepat.semoga awet",satisfied
271,"Mantapppp, barang original, packing aman, plus diskon pula, keren deh doss!",satisfied
272,Barang berfungsi dengan baik. Seller juga cepat respon nya 👍🏻,satisfied
273,"Pelayanan cepat dan responsif, Barang datang tepat waktu, sukses selalu!",satisfied
274,Kenceng!,satisfied
275,Respon Admin nya Gercep Banget... terbaik deh Doss ... Thank you Doss,satisfied
276,"Thanks Banget dikasih Bonus, dibantu dikasih promo dan admjn responsif banget! Thankyouu emang Best Doss",satisfied
277,"Barang sudah di terima dan sesuai dengan deskripsi di etalase. Proses pemesanan sampai pengiriman cepat. Highly recommended seller, keep up the good work !!",satisfied
278,kamera canggih dan keren . semoga awet,satisfied
279,lensa canggih dan keren.,satisfied
280,recomended seller...packingan amanbanyak discount ya,satisfied
281,Fast delivery..everything fine…,satisfied
282,"Proses gak ribet, Customer Service fast response, flexible mau diantar atau ambil di store, barang dijamin original dan terpercaya. Recommended seller dan product!",satisfied
283,barang dah sampai belum di coba semoga normal awet,satisfied
284,Recommend seller,satisfied
285,packing nya aman dan rapi. dapat discon pula. sukses doss,satisfied
286,seller recommended. produk bagus banget. pembelian ke dua kali. dan bintang bicara,satisfied
287,seller recommended. produk bagus banget. pembelian ke dua kali. dan bintang bicara,satisfied
288,"toko kamera langganan, soal kualitas pokonya mantap joss garansi reami.",satisfied
289,bagussss,satisfied
290,Bagus,satisfied
291,Bagus,satisfied
292,Baguss,satisfied
293,"berfungsi dengan baik, seller responsif, cepet banget dikirim.",satisfied
294,"terima kasih, barang sudah sampai.. sukses selalu",satisfied
295,mantabbb,satisfied
296,"barang sesuai, seller very helpful👍🏻",satisfied
297,barangnya sudah diterima dengan baik.. sesuai deskripsi.. pengirimannya juga cepat.,satisfied
298,pelayanan bagus saya suka😍,satisfied
299,best,satisfied
300,Cepet banget pemesanannya. Dibantu dengan baik banget,satisfied
301,Sesuai dan packingan mantap,satisfied
302,"top markotop doss,packing double bubke wrapp,pengiriman juga ceper gk sampe 24 jam smpe.. pdhal beda provinsi.. barang mantapp tapi blm di coba sih",satisfied
303,Cool,satisfied
304,Mantap,satisfied
305,"packingnya aman dan rapi,sesuai dengan ekspektasi",satisfied
306,pelayanan bagus,satisfied
307,"packingnya rapi, barang tiba dengan kondisi baik serta ukuran sesuai dengan deskripsi 💥⚡",satisfied
308,"Produk original berkualitas premium, fungsi lengkap dan maximal, packaging safety, recommended seller 👍🏻👍🏻",satisfied
309,bagus,satisfied
310,alhmdlh brangnya bagus,satisfied
311,"matul pelayanannya, kualitas oke, adminnya ngebantu sekali bahkan sampe diajarin cara pengirimsnnya agar aman",satisfied
312,bagus berfungsi sangat baik,satisfied
313,bagus berfungsi sangat baik,satisfied
314,bagus berfungsi sangat baik,satisfied
315,Mantappppppp terbaekk. Sat set pengiriman cepat,satisfied
316,Thank you doss terbaikdapat voucher diskon waktu ulang tahun doss.,satisfied
317,"joss gandos, terbaik pokok nya mau kirim kirim okeeee bnget dah",satisfied
318,gak nyesel dehh pokoknyaaa mau kirim kemana mama juga pas aman,satisfied
319,Terima kasih banyak Doss 😍Pelayanan terbaik,satisfied
320,Excellent,satisfied
321,"Mantap, respon CS sangat ramahBarang sangat bagus",satisfied
322,mantap,satisfied
323,bagus,satisfied
324,jos banget,satisfied
325,udah langganan jd gak usah diragukan lagi,satisfied
326,"bagus, cepat, mantap, packing super aman",satisfied
327,mantap dan sesuai,satisfied
328,"Produk Sesuai Gambar dan Deskripsi. Berfungsi Dengan Baik, Doss Selalu Fast Respon dan Full Support. Terima Kasih.",satisfied
329,"barang sampai dengan baik, terima kasih doss",satisfied
330,Belum dicoba percaya selalu sama doss mah,neutral
331,Selalu memuaskan,satisfied
332,"barang bagus, harga okee",satisfied
333,puas banget,satisfied
334,"bagus banget, udah ada spring nya, kualitas bahan oke, mungkin rada tipis dari yang saya punya, tapi sesuai dengan harga, ini pembelian kedua karena butuh 2",satisfied
335,"bagus banget, udah ada spring nya, kualitas bahan oke, mungkin rada tipis dari yang saya punya, tapi sesuai dengan harga",satisfied
336,"Keren lens hoodnya, cuma lupa beli adapter ring.",satisfied
337,Barangny kereenn.. Kualitas baguss.. Topp,satisfied
338,"Sekelas doss packagingnya bisa begini. Bubble wrap tipis, untung barangnya gak kenapa2. Tolong lebih dipikirkan packaging di barang yang harganya belasan juta",dissapointed
339,"recommend seller, dilayani dengan baik dan sabarr",satisfied
340,good conditionskemasan baik banget ada bublewrap dan dus external,satisfied
341,Oke,neutral
342,"Bagus,Barang Ori,Staffnya Ramah",satisfied
343,"Barang berfungsi dengan baik. Packing rapi, berlapis2 dan aman. Sayang pengirimannya tidak gercep. Pakai kurir instan tapi baru dikirim besoknya. Harusnya order instan/sa... ",satisfied
344,"mantap sesuai keterangan penjual. Pengiriman agak lambat, dari pihak kurir. Barang diterima dengan baik dan kemasan rapih dan aman",satisfied
345,the best,satisfied
346,Tempat terbaik untuk membeli camera,satisfied
347,"Packingnya aman dan selamat sampai tujuan, keren banget kameranya terimakasih untuk doss dikasih bonus",satisfied
348,"Noise level (hissing) terdengar jelas saat on, padahal dalam kondisi level 0 sound",dissapointed
349,"tidak pernah kecewa belanja dsini, pengiriman cepet, packaging aman, seller responsif",satisfied
350,Doss memberikan pengalaman berbelanja yang sangat baik untuk pembelian kamera A7CII. Harga kompetitif dan deskripsi produk akurat. Pengiriman cepat dan kemasan aman. Laya...,satisfied
351,"kwalitas bagus,pelayanan ramah,pokoknya happy aniv doss sukses terus kedepannya,",satisfied
352,"Barang in high quality, servicenya sangat bagus dan cepat.",satisfied
353,Semoga awet,neutral
354,Pengganti yang hilang..dicoba aman..joss..,satisfied
355,Lengkap sudah ad200pro nya..joss..joss...,satisfied
356,respon cepat.. pengiriman cepat.. packing baik.. sesuai pesanan.. terimakasih,satisfied
357,"barang sampai dengan selamat, meski sempat delay po tapi toko sangat responsif👍",satisfied
358,cepat 👍🏾,satisfied
359,"pelayanan sangat ramah dan cepat, produk juga sangat sesuai dengan deskripsi",satisfied
360,makasih sudah diterima,satisfied
361,makasih sudah diterima,satisfied
362,makasih sudah diterima,satisfied
363,makasih sudah diterima,satisfied
364,"Muraaah, turun harga dan dapet diskon tokped. Dapet bonus case dan kabel hdmi juga. mantap",satisfied
365,"Pelayanan ramah dan cepat, sesuai pesanan, packing aman …reksel doss 👍👍",satisfied
366,"mantapp barangnya sdh diterima ,masih segel...salah satu toko favorit !..sukses selalu Doss",satisfied
367,Barang sudah sampai dan berfungsi dengan baik. Kualitas barang so2 lah ya sesuai budget.Sedikit kendala di item barang yang free nya belum terkirim. Tapi seller dengan sigapnya...,satisfied
368,"Barangnya lumayan oke, pelayannya juga bagus. Ditambah pengirimannya cepat. Makasih ya",satisfied
369,mantap,satisfied
370,keren,satisfied
371,Best action cam,satisfied
372,"Barang bagus, toko terpercaya, harga yang paling murah dari yang lain",satisfied
373,"pelayanan oke respon seller mantap, keren pokonya doss barang originalll",satisfied
374,"pelayanan oke respon seller mantap, keren pokonya doss",satisfied
375,"pengiriman cepat dan aman, barang asli dan sudah dites aman berkualitas",satisfied
376,barang sudah dan sudah di cek. bqgus,satisfied
377,Super duper,satisfied
